"ID","Numero","FIFADisplayName","Country","LastName","FirstName"
87,18,"FRED","Brazil","RODRIGUES DE PAULA SANTOS","Frederico"
88,19,"WILLIAN","Brazil","BORGES DA SILVA","Willian"
89,20,"ROBERTO FIRMINO","Brazil","BARBOSA DE OLIVEIRA","Roberto Firmino"
90,21,"TAISON","Brazil","BARCELLOS FREDA","Taison"
91,22,"FAGNER","Brazil","CONSERVA LEMOS","Fagner"
92,23,"EDERSON","Brazil","SANTANA DE MORAES","Ederson"
93,1,"David OSPINA","Colombia","OSPINA RAMIREZ","David"
94,2,"Cristian ZAPATA","Colombia","ZAPATA VALENCIA","Cristian Eduardo"
95,3,"Oscar MURILLO","Colombia","MURILLO MURILLO","Oscar Fabian"
96,4,"Santiago ARIAS","Colombia","ARIAS NARANJO","Santiago"
97,5,"Wilmar BARRIOS","Colombia","BARRIOS TERAN","Wilmar Enrique"
98,6,"Carlos SANCHEZ","Colombia","SANCHEZ MORENO","Carlos Alberto"
99,7,"Carlos BACCA","Colombia","BACCA AHUMADA","Carlos Arturo"
100,8,"Abel AGUILAR","Colombia","AGUILAR TAPIAS","Abel Enrique"
101,9,"Radamel FALCAO","Colombia","GARCIA ZARATE","Radamel Falcao"
102,10,"James RODRIGUEZ","Colombia","RODRIGUEZ RUBIO","James David"
103,11,"Juan CUADRADO","Colombia","CUADRADO BELLO","Juan Guillermo"
104,12,"Camilo VARGAS","Colombia","VARGAS GIL","Camilo Andres"
105,13,"Yerry MINA","Colombia","MINA GONZALEZ","Yerry Fernando"
106,14,"Luis MURIEL","Colombia","MURIEL FRUTO","Luis Fernando"
107,15,"Mateus URIBE","Colombia","URIBE VILLA","Andres Mateus"
108,16,"Jefferson LERMA","Colombia","LERMA SOLIS","Jefferson Andrés"
109,17,"Johan MOJICA","Colombia","MOJICA PALACIO","Johan Andrés"
110,18,"Farid DIAZ","Colombia","DIAZ RHENALS","Farid Alfonso"
111,19,"Miguel BORJA","Colombia","BORJA HERNANDEZ","Miguel Angel"
112,20,"Juan QUINTERO","Colombia","QUINTERO PANIAGUA","Juan Fernando"
113,21,"Jose IZQUIERDO","Colombia","IZQUIERDO MENA","José Heriberto"
114,22,"Jose CUADRADO","Colombia","CUADRADO ROMERO","José Fernando"
115,23,"Davinson SANCHEZ","Colombia","SANCHEZ MINA","Davinson"
116,1,"Keylor NAVAS","Costa Rica","NAVAS GAMBOA","Keilor Antonio"
117,2,"Johnny ACOSTA","Costa Rica","ACOSTA ZAMORA","Jhonny"
118,3,"Giancarlo GONZALEZ","Costa Rica","GONZALEZ CASTRO","Giancarlo"
119,4,"Ian SMITH","Costa Rica","SMITH QUIROS","Ian Rey"
120,5,"Celso BORGES","Costa Rica","BORGES MORA","Celso"
121,6,"Oscar DUARTE","Costa Rica","DUARTE GAITAN","Oscar Esau"
122,7,"Christian BOLANOS","Costa Rica","BOLAÑOS NAVARRO","Christian"
123,8,"Bryan OVIEDO","Costa Rica","OVIEDO JIMENEZ","Bryan Josue"
124,9,"Daniel COLINDRES","Costa Rica","COLINDRES SOLERA","Daniel"
125,10,"Bryan RUIZ","Costa Rica","RUIZ GONZALEZ","Bryan Jafet"
126,11,"Johan VENEGAS","Costa Rica","VENEGAS ULLOA","Johan Alberto"
127,12,"Joel CAMPBELL","Costa Rica","CAMPBELL SAMUELS","Joel Nathaniel"
128,13,"Rodney WALLACE","Costa Rica","WALLACE BURNS","Rodney"
129,14,"Randall AZOFEIFA","Costa Rica","AZOFEIFA CORRALES","Randall"
130,15,"Francisco CALVO","Costa Rica","CALVO QUESADA","Francisco Javier"
131,16,"Cristian GAMBOA","Costa Rica","GAMBOA LUNA","Cristian Esteban"
132,17,"Yeltsin TEJEDA","Costa Rica","TEJEDA VALVERDE","Yeltsin Ignacio"
133,18,"Patrick PEMBERTON","Costa Rica","PEMBERTON BERNARD","Patrick Alberto"
134,19,"Kendall WASTON","Costa Rica","WASTON MANLEY","Kendall Jamaal"
135,20,"David GUZMAN","Costa Rica","GUZMAN PEREZ","David"
136,21,"Marcos URENA","Costa Rica","UREÑA PORRAS","Marcos Danilo"
137,22,"Ronald MATARRITA","Costa Rica","MATARRITA ULATE","Ronald Alberto"
138,23,"Leonel MOREIRA","Costa Rica","MOREIRA LEDEZMA","Leonel Gerardo"
139,1,"Dominik LIVAKOVIC","Croatia","LIVAKOVIĆ","Dominik"
140,2,"Sime VRSALJKO","Croatia","VRSALJKO","Šime"
141,3,"Ivan STRINIC","Croatia","STRINIĆ","Ivan"
142,4,"Ivan PERISIC","Croatia","PERIŠIĆ","Ivan"
143,5,"Vedran CORLUKA","Croatia","ĆORLUKA","Vedran"
144,6,"Dejan LOVREN","Croatia","LOVREN","Dejan"
145,7,"Ivan RAKITIC","Croatia","RAKITIĆ","Ivan"
146,8,"Mateo KOVACIC","Croatia","KOVAČIĆ","Mateo"
147,9,"Andrej KRAMARIC","Croatia","KRAMARIĆ","Andrej"
148,10,"Luka MODRIC","Croatia","MODRIĆ","Luka"
149,11,"Marcelo BROZOVIC","Croatia","BROZOVIĆ","Marcelo"
150,12,"Lovre KALINIC","Croatia","KALINIĆ","Lovre"
151,13,"Tin JEDVAJ","Croatia","JEDVAJ","Tin"
152,14,"Filip BRADARIC","Croatia","BRADARIĆ","Filip"
153,15,"Duje CALETA-CAR","Croatia","ĆALETA-CAR","Duje"
154,16,"Nikola KALINIC","Croatia","KALINIĆ","Nikola"
155,17,"Mario MANDZUKIC","Croatia","MANDŽUKIĆ","Mario"
156,18,"Ante REBIC","Croatia","REBIĆ","Ante"
157,19,"Milan BADELJ","Croatia","BADELJ","Milan"
158,20,"Marko PJACA","Croatia","PJACA","Marko"
159,21,"Domagoj VIDA","Croatia","VIDA","Domagoj"
160,22,"Josip PIVARIC","Croatia","PIVARIĆ","Josip"
161,23,"Danijel SUBASIC","Croatia","SUBAŠIĆ","Danijel"
162,1,"Kasper SCHMEICHEL","Denmark","SCHMEICHEL","Kasper Peter"
163,2,"Michael KROHN-DEHLI","Denmark","KROHN-DEHLI","Michael"
164,3,"Jannik VESTERGAARD","Denmark","VESTERGAARD","Jannik"
165,4,"Simon KJAER","Denmark","KJAER","Simon Thorup"
166,5,"Jonas KNUDSEN","Denmark","KNUDSEN","Jonas Hjort"
167,6,"Andreas CHRISTENSEN","Denmark","CHRISTENSEN","Andreas Bodtker"
168,7,"William KVIST","Denmark","KVIST","William Vitved"
169,8,"Thomas DELANEY","Denmark","DELANEY","Thomas Joseph"
170,9,"Nicolai JORGENSEN","Denmark","JORGENSEN","Nicolai Mick"
171,10,"Christian ERIKSEN","Denmark","ERIKSEN","Christian Dannemann"
172,11,"Martin BRAITHWAITE","Denmark","BRAITHWAITE","Martin Christensen"
173,12,"Kasper DOLBERG","Denmark","RASMUSSEN","Kasper Dolberg"
174,13,"Mathias JORGENSEN","Denmark","JORGENSEN","Mathias Jattah-Njie"
175,14,"Henrik DALSGAARD","Denmark","DALSGAARD","Henrik"
176,15,"Viktor FISCHER","Denmark","FISCHER","Viktor Gorridsen"
177,16,"Jonas LOSSL","Denmark","LÖSSL","Jonas Bybjerg"
178,17,"Jens Stryger LARSEN","Denmark","LARSEN","Jens Stryger"
179,18,"Lukas LERAGER","Denmark","LERAGER","Lukas Reiff"
180,19,"Lasse SCHONE","Denmark","SCHÖNE","Lasse"
181,20,"Yussuf Yurary POULSEN","Denmark","POULSEN","Yussuf Yurary"
182,21,"Andreas CORNELIUS","Denmark","CORNELIUS","Andreas Evald"
183,22,"Frederik RONNOW","Denmark","RØNNOW","Frederik Riis"
184,23,"Pione SISTO","Denmark","EMIRMIJA","Pione Sisto Ifolo"
185,1,"ESSAM ELHADARY","Egypt","KAMAL TAWFIK EL HADARY","Essam"
186,2,"ALI GABR","Egypt","GABR","Ali"
187,3,"AHMED ELMOHAMADY","Egypt","ABDELFATTAH","Ahmed Elmohamady"
188,4,"OMAR GABER","Egypt","GABER","Omar"
189,5,"SAM MORSY","Egypt","SAYED MORSY","Samy"
190,6,"AHMED HEGAZY","Egypt","HEGAZY","Ahmed Elsayed"
191,7,"AHMED FATHI","Egypt","IBRAHIM","Ahmed Fathy AbdelmonemAhmed"
192,8,"TAREK HAMED","Egypt","HAMED","Tarek"
193,9,"MARWAN MOHSEN","Egypt","GAMALELDIN MAHMOUD FAHMY","Marwan Mohsen"
194,10,"MOHAMED SALAH","Egypt","GHALY","Mohamed Salah"
195,11,"KAHRABA","Egypt","SOLIMAN","Mahmoud Abdelmoneim"
196,12,"AYMAN ASHRAF","Egypt","ELSEMBESKANY","Ayman Ashraf"
197,13,"MOHAMED ABDELSHAFY","Egypt","ABOUZID","Mohamed Abdelshafy Said"
198,14,"RAMADAN SOBHY","Egypt","AHMED","Ramadan Sobhy"
199,15,"MAHMOUD HAMDY","Egypt","ATTIA","Mahmoud Hamdy"
200,16,"SHERIF EKRAMY","Egypt","AHMED","Sherif Ekramy Ahmed"
201,17,"MOHAMED ELNENY","Egypt","ELNENY","Mohamed Nasser Elsayed"
202,18,"SHIKABALA","Egypt","FADLALA","Mahmoud AbdelrazekHassan"
203,19,"ABDALLA SAID","Egypt","BEKHIT","Abdalla Mahmoud Said"
204,20,"SAMIR SAAD","Egypt","ALI","Saadeldin Samir Saad"
205,21,"TREZEGUET","Egypt","HASSAN","Mahmoud Ahmed Ibrahim"
206,22,"AMR WARDA","Egypt","WARDA","Amr Medhat"
207,23,"MOHAMED ELSHENAWY","Egypt","ELSHENAWY GOMAA","Mohamed ElsayedMohamed"
208,1,"Jordan PICKFORD","England","PICKFORD","Jordan Lee"
209,2,"Kyle WALKER","England","WALKER","Kyle Andrew"
210,3,"Danny ROSE","England","ROSE","Daniel Lee"
211,4,"Eric DIER","England","DIER","Eric Jeremy Edgar"
212,5,"John STONES","England","STONES","John"
213,6,"Harry MAGUIRE","England","MAGUIRE","Jacob Harry"
214,7,"Jesse LINGARD","England","LINGARD","Jesse Ellis"
215,8,"Jordan HENDERSON","England","HENDERSON","Jordan Brian"
216,9,"Harry KANE","England","KANE","Harry Edward"
217,10,"Raheem STERLING","England","STERLING","Raheem"
218,11,"Jamie VARDY","England","VARDY","Jamie Richard"
219,12,"Kieran TRIPPIER","England","TRIPPIER","Kieran John"
220,13,"Jack BUTLAND","England","BUTLAND","Jack"
221,14,"Danny WELBECK","England","WELBECK","Daniel"
222,15,"Gary CAHILL","England","CAHILL","Gary James"
223,16,"Phil JONES","England","JONES","Philip Anthony"
224,17,"Fabian DELPH","England","DELPH","Fabian"
225,18,"Ashley YOUNG","England","YOUNG","Ashley Simon"
226,19,"Marcus RASHFORD","England","RASHFORD","Marcus"
227,20,"Dele ALLI","England","ALLI","Bamidele Jermaine"
228,21,"Ruben LOFTUS-CHEEK","England","LOFTUS-CHEEK","Ruben Ira"
229,22,"Trent ALEXANDER-ARNOLD","England","ALEXANDER-ARNOLD","Trent John"
230,23,"Nick POPE","England","POPE","Nicholas David"
231,1,"Hugo LLORIS","France","LLORIS","Hugo"
232,2,"Benjamin PAVARD","France","PAVARD","Benjamin"
233,3,"Presnel KIMPEMBE","France","KIMPEMBE","Presnel"
234,4,"Raphael VARANE","France","VARANE","Raphaël Xavier"
235,5,"Samuel UMTITI","France","UMTITI","Samuel"
236,6,"Paul POGBA","France","POGBA","Paul Labile"
237,7,"Antoine GRIEZMANN","France","GRIEZMANN","Antoine"
238,8,"Thomas LEMAR","France","LEMAR","Thomas"
239,9,"Olivier GIROUD","France","GIROUD","Olivier"
240,10,"Kylian MBAPPE","France","MBAPPE LOTTIN","Kylian"
241,11,"Ousmane DEMBELE","France","DEMBELE","Ousmane"
242,12,"Corentin TOLISSO","France","TOLISSO","Corentin"
243,13,"Ngolo KANTE","France","KANTE","N'golo"
244,14,"Blaise MATUIDI","France","MATUIDI","Blaise"
245,15,"Steven NZONZI","France","NZONZI","Steven"
246,16,"Steve MANDANDA","France","MANDANDA MPIDI","Steve"
247,17,"Adil RAMI","France","RAMI","Adil"
248,18,"Nabil FEKIR","France","FEKIR","Nabil"
249,19,"Djibril SIDIBE","France","SIDIBE","Djibril"
250,20,"Florian THAUVIN","France","THAUVIN","Florian"
251,21,"Lucas HERNANDEZ","France","HERNANDEZ","Lucas"
252,22,"Benjamin MENDY","France","MENDY","Benjamin"
253,23,"Alphonse AREOLA","France","AREOLA","Alphonse"
254,1,"Manuel NEUER","Germany","NEUER","Manuel Peter"
255,2,"Marvin PLATTENHARDT","Germany","PLATTENHARDT","Marvin"
256,3,"Jonas HECTOR","Germany","HECTOR","Jonas Armin"
257,4,"Matthias GINTER","Germany","GINTER","Matthias Lukas"
258,5,"Mats HUMMELS","Germany","HUMMELS","Mats Julian"
259,6,"Sami KHEDIRA","Germany","KHEDIRA","Sami"
260,7,"Julian DRAXLER","Germany","DRAXLER","Julian"
261,8,"Toni KROOS","Germany","KROOS","Toni"
262,9,"Timo WERNER","Germany","WERNER","Timo"
263,10,"Mesut OEZIL","Germany","ÖZIL","Mesut"
264,11,"Marco REUS","Germany","REUS","Marco"
265,12,"Kevin TRAPP","Germany","TRAPP","Kevin"
266,13,"Thomas MUELLER","Germany","MÜLLER","Thomas"
267,14,"Leon GORETZKA","Germany","GORETZKA","Leon Christoph"
268,15,"Niklas SUELE","Germany","SÜLE","Niklas"
269,16,"Antonio RUEDIGER","Germany","RÜDIGER","Antonio"
270,17,"Jerome BOATENG","Germany","BOATENG","Jerome Agyenim"
271,18,"Joshua KIMMICH","Germany","KIMMICH","Joshua Walter"
272,19,"Sebastian RUDY","Germany","RUDY","Sebastian"
273,20,"Julian BRANDT","Germany","BRANDT","Julian"
274,21,"Ilkay GUENDOGAN","Germany","GÜNDOGAN","Ilkay"
275,22,"Marc-Andre TER STEGEN","Germany","TER STEGEN","Marc-André"
276,23,"Mario GOMEZ","Germany","GOMEZ GARCIA","Mario"
277,1,"Hannes HALLDORSSON","Iceland","HALLDORSSON","Hannes Thor"
278,2,"Birkir SAEVARSSON","Iceland","SAEVARSSON","Birkir Mar"
279,3,"Samuel FRIDJONSSON","Iceland","FRIDJONSSON","Samúel Kári"
280,4,"Albert GUDMUNDSSON","Iceland","GUDMUNDSSON","Albert"
281,5,"Sverrir INGASON","Iceland","INGASON","Sverrir Ingi"
282,6,"Ragnar SIGURDSSON","Iceland","SIGURDSSON","Ragnar"
283,7,"Johann GUDMUNDSSON","Iceland","GUDMUNDSSON","Johann Berg"
284,8,"Birkir BJARNASON","Iceland","BJARNASON","Birkir"
285,9,"Bjorn SIGURDARSON","Iceland","SIGURDARSON","Bjorn Bergmann"
286,10,"Gylfi SIGURDSSON","Iceland","SIGURDSSON","Gylfi Thor"
287,11,"Alfred FINNBOGASON","Iceland","FINNBOGASON","Alfred"
288,12,"Frederik SCHRAM","Iceland","SCHRAM","Frederik August Albrecht"
289,13,"Runar RUNARSSON","Iceland","RÚNARSSON","Rúnar Alex"
290,14,"Kari ARNASON","Iceland","ARNASON","Kari"
291,15,"Holmar EYJOLFSSON","Iceland","EYJOLFSSON","Holmar Orn"
292,16,"Olafur SKULASON","Iceland","SKULASON","Olafur Ingi"
293,17,"Aron GUNNARSSON","Iceland","GUNNARSSON","Aron Einar"
294,18,"Hordur MAGNUSSON","Iceland","MAGNUSSON","Hordur Bjorgvin"
295,19,"Rurik GISLASON","Iceland","GISLASON","Rurik"
296,20,"Emil HALLFREDSSON","Iceland","HALLFREDSSON","Emil"
297,21,"Arnor TRAUSTASON","Iceland","TRAUSTASON","Arnor Ingvi"
298,22,"Jon BODVARSSON","Iceland","BODVARSSON","Jon Dadi"
299,23,"Ari SKULASON","Iceland","SKULASON","Ari Freyr"
300,1,"Ali BEIRANVAND","IR Iran","SAFARBEIRANVAND","Ali Reza"
301,2,"Mehdi TORABI","IR Iran","TORABI","Mahdi"
302,3,"Ehsan HAJI SAFI","IR Iran","HAJI SAFI","Ehsan"
303,4,"Roozbeh CHESHMI","IR Iran","CHESHMI","Roozbeh"
304,5,"Milad MOHAMMADI","IR Iran","MOHAMMADI KESHMARZI","Milad"
305,6,"Saeid EZATOLAHI","IR Iran","EZATOLAHI AFAGH","Saeid"
306,7,"Masoud SHOJAEI","IR Iran","SOLEIMANI SHOJAEI","Masoud"
307,8,"Morteza POURALIGANJI","IR Iran","POURALIGANJI","Morteza"
308,9,"Omid EBRAHIMI","IR Iran","EBRAHIMI ZARANDINI","Omid"
309,10,"Karim ANSARIFARD","IR Iran","ANSARIFARD","Karim"
310,11,"Vahid AMIRI","IR Iran","AMIRI","Vahid"
311,12,"Rashid MAZAHERI","IR Iran","MAZAHERI","Mohammad Rashid"
312,13,"Mohammad Reza KHANZADEH","IR Iran","KHANZADEH DARABY","Mohammad Reza"
313,14,"Saman GHODDOS","IR Iran","GHODDOOS","Seyed Saman"
314,15,"Pejman MONTAZERI","IR Iran","MONTAZERI","Pejman"
315,16,"Reza GHOOCHANNEJHAD","IR Iran","GHOOCHANNEJHAD NOURNIA","Reza"
316,17,"Mehdi TAREMI","IR Iran","TAREMI","Mehdi"
317,18,"Alireza JAHANBAKHSH","IR Iran","JAHANBAKHSH JIRANDEH","Alireza"
318,19,"Majid HOSSEINI","IR Iran","HOSSEINI","Seyed Majid"
319,20,"Sardar AZMOUN","IR Iran","AZMOUN","Sardar"
320,21,"Ashkan DEJAGAH","IR Iran","DEJAGAH","Seyed Ashkan"
321,22,"Amir ABEDZADEH","IR Iran","ABEDZADEH","Amir"
322,23,"Ramin REZAEIAN","IR Iran","REZAEIAN SEMESKANDI","Ramin"
323,1,"Eiji KAWASHIMA","Japan","KAWASHIMA","Eiji"
324,2,"Naomichi UEDA","Japan","UEDA","Naomichi"
325,3,"Gen SHOJI","Japan","SHOJI","Gen"
326,4,"Keisuke HONDA","Japan","HONDA","Keisuke"
327,5,"Yuto NAGATOMO","Japan","NAGATOMO","Yuto"
328,6,"Wataru ENDO","Japan","ENDO","Wataru"
329,7,"Gaku SHIBASAKI","Japan","SHIBASAKI","Gaku"
330,8,"Genki HARAGUCHI","Japan","HARAGUCHI","Genki"
331,9,"Shinji OKAZAKI","Japan","OKAZAKI","Shinji"
332,10,"Shinji KAGAWA","Japan","KAGAWA","Shinji"
333,11,"Takashi USAMI","Japan","USAMI","Takashi"
334,12,"Masaaki HIGASHIGUCHI","Japan","HIGASHIGUCHI","Masaaki"
335,13,"Yoshinori MUTO","Japan","MUTO","Yoshinori"
336,14,"Takashi INUI","Japan","INUI","Takashi"
337,15,"Yuya OSAKO","Japan","OSAKO","Yuya"
338,16,"Hotaru YAMAGUCHI","Japan","YAMAGUCHI","Hotaru"
339,17,"Makoto HASEBE","Japan","HASEBE","Makoto"
340,18,"Ryota OHSHIMA","Japan","OHSHIMA","Ryota"
341,19,"Hiroki SAKAI","Japan","SAKAI","Hiroki"
342,20,"Tomoaki MAKINO","Japan","MAKINO","Tomoaki"
343,21,"Gotoku SAKAI","Japan","SAKAI","Gotoku"
344,22,"Maya YOSHIDA","Japan","YOSHIDA","Maya"
345,23,"Kosuke NAKAMURA","Japan","NAKAMURA","Kosuke"
346,1,"KIM Seunggyu","Korea Republic","KIM","Seunggyu S G KIM"
347,2,"LEE Yong","Korea Republic","LEE","Yong Y LEE"
348,3,"JUNG Seunghyun","Korea Republic","JUNG","Seunghyun S H JUNG"
349,4,"OH Bansuk","Korea Republic","OH","Bansuk B S OH"
350,5,"YUN Youngsun","Korea Republic","YUN","Youngsun Y S YUN"
351,6,"PARK Jooho","Korea Republic","PARK","Jooho J H PARK"
352,7,"SON Heungmin","Korea Republic","SON","Heungmin H M SON"
353,8,"JU Sejong","Korea Republic","JU","Sejong S J JU"
354,9,"KIM Shinwook","Korea Republic","KIM","Shinwook S W KIM"
