"ID","Numero","FIFADisplayName","Country","LastName","FirstName"
377,1,"Giovani DOS SANTOS","Mexico","DOS SANTOS RAMIREZ","Giovani"
378,11,"Carlos VELA","Mexico","VELA GARRIDO","Carlos Alberto"
379,12,"Alfredo TALAVERA","Mexico","TALAVERA DIAZ","Alfredo"
380,13,"Guillermo OCHOA","Mexico","OCHOA MAGANA","Francisco Guillermo"
381,14,"Javier HERNANDEZ","Mexico","HERNANDEZ BALCAZAR","Javier"
382,15,"Hector MORENO","Mexico","MORENO HERRERA","Hector Alfredo"
383,16,"Hector HERRERA","Mexico","HERRERA LOPEZ","Hector Miguel"
384,17,"Jesus CORONA","Mexico","CORONA RUIZ","Jesus Manuel"
385,18,"Andres GUARDADO","Mexico","GUARDADO HERNANDEZ","Jose Andres"
386,19,"Oribe PERALTA","Mexico","PERALTA MORONES","Oribe"
387,20,"Javier AQUINO","Mexico","AQUINO CARMONA","Javier Ignacio"
388,21,"Edson ALVAREZ","Mexico","ALVAREZ VELAZQUEZ","Edson Omar"
389,22,"Hirving LOZANO","Mexico","LOZANO BAHENA","Hirving Rodrigo"
390,23,"Jesus GALLARDO","Mexico","GALLARDO VASCONCELOS","Jesus Daniel"
391,1,"Yassine BOUNOU","Morocco","BOUNOU","Yassine"
392,2,"Achraf HAKIMI","Morocco","HAKIMI","Achraf"
393,3,"Hamza MENDYL","Morocco","MENDYL","Hamza"
394,4,"Manuel DA COSTA","Morocco","DA COSTA TRINDADE","Manuel Marouan"
395,5,"Mehdi BENATIA","Morocco","EL MOUTTAQUI","Mehdi Amine"
396,6,"Ghanem SAISS","Morocco","SAISS","Ghanem"
397,7,"Hakim ZIYACH","Morocco","ZIYACH","Hakim"
398,8,"Karim EL AHMADI","Morocco","EL AHMADI AROUSSI","Karim"
399,9,"Ayoub EL KAABI","Morocco","EL KAABI","Ayoub"
400,1,"Younes BELHANDA","Morocco","BELHANDA","Younes"
401,11,"Faycal FAJR","Morocco","FAJR","Faycal"
402,12,"Monir EL KAJOUI","Morocco","EL KAJOUI","Monir"
403,13,"Khalid BOUTAIB","Morocco","BOUTAIB","Khalid"
404,14,"Mbark BOUSSOUFA","Morocco","BOUSSOUFA","M'bark"
405,15,"Youssef AIT BENNASSER","Morocco","AIT BENNASSER","Youssef"
406,16,"Noureddine AMRABAT","Morocco","AMRABAT","Noureddine"
407,17,"Nabil DIRAR","Morocco","DIRAR","Nabil"
408,18,"Amine HARIT","Morocco","HARIT","Amine"
409,19,"Youssef EN NESYRI","Morocco","EN NESYRI","Youssef"
410,20,"Aziz BOUHADDOUZ","Morocco","BOUHADDOUZ","Aziz"
411,21,"Sofyan AMRABAT","Morocco","AMRABAT","Sofyan"
412,22,"Ahmed TAGNAOUTI","Morocco","TAGNAOUTI","Ahmed Reda"
413,23,"Mehdi CARCELA","Morocco","CARCELA GONZALEZ","Mehdi François"
414,1,"kechukwu EZENWA","Nigeria","EZENWA","Ikechukwu Vincent"
415,2,"Bryan IDOWU","Nigeria","IDOWU","Bryan Oladapo"
416,3,"Elderson ECHIEJILE","Nigeria","ECHIEJILE","Elderson Uwa"
417,4,"Wilfred NDIDI","Nigeria","NDIDI","Onyinye Wilfred"
418,5,"William EKONG","Nigeria","EKONG","William Paul"
419,6,"Leon BALOGUN","Nigeria","BALOGUN","Leon Aderemi"
420,7,"Ahmed MUSA","Nigeria","MUSA","Ahmed"
421,8,"Oghenekaro ETEBO","Nigeria","ETEBO","Oghenekaro Peter"
422,9,"Odion IGHALO","Nigeria","IGHALO","Odion Jude"
423,1,"John Obi MIKEL","Nigeria","MIKEL","John Obi"
424,11,"Victor MOSES","Nigeria","MOSES","Victor"
425,12,"Abdullahi SHEHU","Nigeria","SHEHU","Abdullahi"
426,13,"Simeon NWANKWO","Nigeria","NWANKWO","Simeon Tochukwu"
427,14,"Kelechi IHEANACHO","Nigeria","IHEANACHO","Kelechi Promise"
428,15,"Joel OBI","Nigeria","OBI","Joel Chukwuma"
429,16,"Daniel AKPEYI","Nigeria","AKPEYI","Daniel"
430,17,"Ogenyi ONAZI","Nigeria","ONAZI","Ogenyi Eddy"
431,18,"Alex IWOBI","Nigeria","IWOBI","Alexander Chuka"
432,19,"John OGU","Nigeria","OGU","Ugochukwu John"
433,20,"Chidozie AWAZIEM","Nigeria","AWAZIEM","Chidozie Collins"
434,21,"Tyronne EBUEHI","Nigeria","EBUEHI","Tyronne Efe"
435,22,"Kenneth OMERUO","Nigeria","OMERUO","Kenneth Josiah"
436,23,"Francis UZOHO","Nigeria","UZOHO","Francis Odinaka"
437,1,"Jaime PENEDO","Panama","PENEDO CANO","Jaime Manuel"
438,2,"Michael MURILLO","Panama","MURILLO BERMUDEZ","Michael Amir"
439,3,"Harold CUMMINGS","Panama","CUMMINGS SEGURA","Harold Oshkaly"
440,4,"Fidel ESCOBAR","Panama","ESCOBAR MENDIETA","Fidel"
441,5,"Roman TORRES","Panama","TORRES MORCILLO","Román"
442,6,"Gabriel GOMEZ","Panama","GOMEZ GIRON","Gabriel Enrique"
443,7,"Blas PEREZ","Panama","PEREZ ORTEGA","Blas Antonio Miguel"
444,8,"Edgar BARCENAS","Panama","BARCENAS HERRERA","Edgar Yoel"
445,9,"Gabriel TORRES","Panama","TORRES TEJADA","Gabriel Arturo"
446,10,"Ismael DIAZ","Panama","DIAZ DE LEON","Ismael"
447,11,"Armando COOPER","Panama","COOPER WHITAKER","Armando Enrique"
448,12,"Jose CALDERON","Panama","CALDERON FRIAS","Jose De Jesus"
449,13,"Adolfo MACHADO","Panama","MACHADO","Adolfo Abdiel"
450,14,"Valentin PIMENTEL","Panama","PIMENTEL ARMUELLES","Valentin Enrique"
451,15,"Eric DAVIS","Panama","DAVIS GRAJALES","Eric Javier"
452,16,"Abdiel ARROYO","Panama","ARROYO MOLINAR","Abdiel"
453,17,"Luis OVALLE","Panama","OVALLE VICTORIA","Luis Carlos"
454,18,"Luis TEJADA","Panama","TEJADA HANSELL","Luis Carlos"
455,19,"Ricardo AVILA","Panama","AVILA","Ricardo"
456,20,"Anibal GODOY","Panama","GODOY LEMUS","Anibal Casis"
457,21,"Jose Luis RODRIGUEZ","Panama","RODRIGUEZ FRANCIS","José Luis"
458,22,"Alex RODRIGUEZ","Panama","RODRIGUEZ LEDEZMA","Alex Raul"
459,23,"Felipe BALOY","Panama","BALOY RAMIREZ","Felipe Abdiel"
460,1,"Pedro GALLESE","Peru","GALLESE QUIROZ","Pedro David"
461,2,"Alberto RODRIGUEZ","Peru","RODRIGUEZ VALDELOMAR","Alberto Junior"
462,3,"Aldo CORZO","Peru","CORZO CHAVEZ","Aldo Sebastian"
463,4,"Anderson SANTAMARIA","Peru","SANTAMARIA BARDALES","Anderson"
464,5,"Miguel ARAUJO","Peru","ARAUJO BLANCO","Miguel Gianpierre"
465,6,"Miguel TRAUCO","Peru","TRAUCO SAAVEDRA","Miguel Angel"
466,7,"Paolo HURTADO","Peru","HURTADO HUERTAS","Christopher Paolo César"
467,8,"Christian CUEVA","Peru","CUEVA BRAVO","Christian Alberto"
468,9,"Paolo GUERRERO","Peru","GUERRERO GONZALES","Jose Paolo"
469,10,"Jefferson FARFAN","Peru","FARFAN GUADALUPE","Jefferson Agustin"
470,11,"Raul RUIDIAZ","Peru","RUIDIAZ MISITICH","Raul Mario"
471,12,"Carlos CACEDA","Peru","CACEDA OLLAGUEZ","Carlos Alberto"
472,13,"Renato TAPIA","Peru","TAPIA CORTIJO","Renato Fabrizio"
473,14,"Andy POLO","Peru","POLO ANDRADE","Andy Jorman"
474,15,"Christian RAMOS","Peru","RAMOS GARAGAY","Christian Guillermo Martin"
475,16,"Wilder CARTAGENA","Peru","CARTAGENA MENDOZA","Wilder Jose"
476,17,"Luis ADVINCULA","Peru","ADVINCULA CASTRILLON","Luis Jan Piers"
477,18,"Andre CARRILLO","Peru","CARRILLO DIAZ","Andre Martin"
478,19,"Yoshimar YOTUN","Peru","YOTUN FLORES","Victor Yoshimar"
479,20,"Edison FLORES","Peru","FLORES PERALTA","Edison Michael"
480,21,"Jose CARVALLO","Peru","CARVALLO ALONSO","Jose Aurelio"
481,22,"Nilson LOYOLA","Peru","LOYOLA MORALES","Nilson Evair"
482,23,"Pedro AQUINO","Peru","AQUINO SANCHEZ","Pedro Jesus"
483,1,"Wojciech SZCZESNY","Poland","SZCZĘSNY","Wojciech Tomasz"
484,2,"Michal PAZDAN","Poland","PAZDAN","Michal"
485,3,"Artur JEDRZEJCZYK","Poland","JEDRZEJCZYK","Artur Marcin"
486,4,"Thiago CIONEK","Poland","CIONEK","Thiago Ranagel"
487,5,"Jan BEDNAREK","Poland","BEDNAREK","Jan Kacper"
488,5,"Krzysztof MACZYNSKI","Poland","MACZYNSKI","Krzysztof"
489,6,"Jacek GORALSKI","Poland","GORALSKI","Jacek"
490,7,"Arkadiusz MILIK","Poland","MILIK","Arkadiusz Krystian"
491,8,"Karol LINETTY","Poland","LINETTY","Karol"
492,9,"Robert LEWANDOWSKI","Poland","LEWANDOWSKI","Robert"
493,10,"Grzegorz KRYCHOWIAK","Poland","KRYCHOWIAK","Grzegorz"
494,11,"Kamil GROSICKI","Poland","GROSICKI","Kamil Pawel"
495,12,"Bartosz BIALKOWSKI","Poland","BIALKOWSKI","Bartosz Marek"
496,13,"Maciej RYBUS","Poland","RYBUS","Maciej"
497,14,"Lukasz TEODORCZYK","Poland","TEODORCZYK","Lukasz"
498,15,"Kamil GLIK","Poland","GLIK","Kamil"
499,16,"Jakub BLASZCZYKOWSKI","Poland","BŁASZCZYKOWSKI","Jakub"
500,17,"Slawomir PESZKO","Poland","PESZKO","Slawomir Konrad"
501,18,"Bartosz BERESZYNSKI","Poland","BERESZYNSKI","Bartosz"
502,19,"Piotr ZIELINSKI","Poland","ZIELINSKI","Piotr Sebastian"
503,20,"Lukasz PISZCZEK","Poland","PISZCZEK","Lukasz Piotr"
504,21,"Rafal KURZAWA","Poland","KURZAWA","Rafal Maciej"
505,22,"Lukasz FABIANSKI","Poland","FABIAŃSKI","Lukasz"
506,23,"Dawid KOWNACKI","Poland","KOWNACKI","Dawid Igor"
507,1,"RUI PATRICIO","Portugal","DOS SANTOS PATRÍCIO","Rui Pedro"
508,2,"BRUNO ALVES","Portugal","REGUFE ALVES","Bruno Eduardo"
509,3,"PEPE","Portugal","DE LIMA FERREIRA","Kepler Laveran"
510,4,"MANUEL FERNANDES","Portugal","TAVARES FERNANDES","Manuel Henrique"
511,5,"RAPHAEL GUERREIRO","Portugal","GUERREIRO","Raphael Adelino José"
512,6,"JOSE FONTE","Portugal","DA ROCHA FONTE","José Miguel"
513,7,"CRISTIANO RONALDO","Portugal","DOS SANTOS AVEIRO","Cristiano Ronaldo"
514,8,"JOAO MOUTINHO","Portugal","IRIA SANTOS MOUTINHO","João Filipe"
515,9,"ANDRE SILVA","Portugal","VALENTE DA SILVA","André Miguel"
516,10,"JOAO MARIO","Portugal","NAVAL DA COSTA EDUARDO","João Mário"
517,11,"BERNARDO SILVA","Portugal","MOTA VEIGA DE CARVALHO ESILVA","Bernardo"
518,12,"ANTHONY LOPES","Portugal","LOPES","Anthony"
519,13,"RUBEN DIAS","Portugal","DOS SANTOS GATO ALVES DIAS","Rúben"
520,14,"WILLIAM","Portugal","SILVA DE CARVALHO","William"
521,15,"RICARDO","Portugal","BARBOSA PEREIRA","Ricardo Domingos"
522,16,"BRUNO FERNANDES","Portugal","BORGES FERNANDES","Bruno Miguel"
523,17,"GONCALO GUEDES","Portugal","GANCHINHO GUEDES","Gonçalo Manuel"
524,18,"GELSON MARTINS","Portugal","BATALHA MARTINS","Gelson Dany"
525,19,"MARIO RUI","Portugal","SILVA DUARTE","Mário Rui"
526,20,"RICARDO QUARESMA","Portugal","ANDRADE QUARESMA BERNARDO","Ricardo"
527,21,"CEDRIC","Portugal","ALVES SOARES","Cédric Ricardo"
528,22,"BETO","Portugal","BASTOS PIMPAREL","António Alberto"
529,23,"ADRIEN SILVA","Portugal","PERRUCHET DA SILVA","Adrien Sébastien"
530,1,"Igor AKINFEEV","Russia","AKINFEEV","Igor"
531,2,"MARIO FERNANDES","Russia","FIGUEIRA FERNANDES","Mario"
532,3,"Ilya KUTEPOV","Russia","KUTEPOV","Ilya"
533,4,"Sergey IGNASHEVICH","Russia","IGNASHEVICH","Sergey"
534,5,"Andrey SEMENOV","Russia","SEMENOV","Andrey"
535,6,"Denis CHERYSHEV","Russia","CHERYSHEV","Denis"
536,7,"Daler KUZIAEV","Russia","KUZIAEV","Daler"
537,8,"Iury GAZINSKY","Russia","GAZINSKII","Iurii"
538,9,"Alan DZAGOEV","Russia","DZAGOEV","Alan"
539,10,"Fedor SMOLOV","Russia","SMOLOV","Fedor"
540,11,"Roman ZOBNIN","Russia","ZOBNIN","Roman"
541,12,"Andrei LUNEV","Russia","LUNEV","Andrei"
542,13,"Fedor KUDRIASHOV","Russia","KUDRIASHOV","Fedor"
543,14,"Vladimir GRANAT","Russia","GRANAT","Vladimir"
544,15,"Alexey MIRANCHUK","Russia","MIRANCHUK","Alexey"
545,16,"Anton MIRANCHUK","Russia","MIRANCHUK","Anton"
546,17,"Aleksandr GOLOVIN","Russia","GOLOVIN","Aleksandr"
547,18,"Yury ZHIRKOV","Russia","ZHIRKOV","Yury"
548,19,"Alexander SAMEDOV","Russia","SAMEDOV","Alexander"
549,20,"Vladimir GABULOV","Russia","GABULOV","Vladimir"
550,21,"Aleksandr EROKHIN","Russia","EROKHIN","Aleksandr"
551,22,"Artem DZYUBA","Russia","DZYUBA","Artem"
552,23,"Igor SMOLNIKOV","Russia","SMOLNIKOV","Igor"
553,1,"ABDULLAH ALMUAIOUF","Saudi Arabia","ALMUAIOUF","Abdullah Ibrahim A"
554,2,"MANSOUR ALHARBI","Saudi Arabia","ALHARBI","Mansour"
555,3,"OSAMA HAWSAWI","Saudi Arabia","HAWSAWI","Osama Abdulrzag M"
556,4,"ALI ALBULAYHI","Saudi Arabia","ALBULAYHI","Ali Hadi M"
557,5,"OMAR HAWSAWI","Saudi Arabia","HAWSAWI","Omar Ibrahim O"
558,6,"MOHAMMED ALBURAYK","Saudi Arabia","ALBURAYK","Mohammed Ibrahim M"
559,7,"SALMAN ALFARAJ","Saudi Arabia","ALFARAJ","Salman Mohammed M"
560,8,"YAHIA ALSHEHRI","Saudi Arabia","ALSHEHRI","Yahia Sulaiman Ali"
561,9,"HATAN BAHBRI","Saudi Arabia","BAHBRI","Hatan Sultan"
562,10,"MOHAMMED ALSAHLAWI","Saudi Arabia","ALSAHLAWI","Mohammed IbrahimMohammad"
563,11,"ABDULMALEK ALKHAIBRI","Saudi Arabia","ALKHAIBRI","Abdulmalek Abdullah A"
564,12,"MOHAMED KANNO","Saudi Arabia","KANNO","Mohamed Ibrahim A"
565,13,"YASSER ALSHAHRANI","Saudi Arabia","ALSHAHRANI","Yasir Gharsan S"
566,14,"ABDULLAH OTAYF","Saudi Arabia","OTAYF","Abdullah Ibrahim I"
567,15,"ABDULLAH ALKHAIBARI","Saudi Arabia","ALKHAIBARI","Abdullah Mohammed"
568,16,"HUSSAIN ALMOQAHWI","Saudi Arabia","ALMOQAHWI","Hussain Ali J"
569,17,"TAISEER ALJASSAM","Saudi Arabia","ALJASSAM","Taiseer Jaber"
570,18,"SALEM ALDAWSARI","Saudi Arabia","ALDAWSARI","Salem Mohammed S"
571,19,"FAHAD ALMUWALLAD","Saudi Arabia","ALMUWALLAD ALHARBI","Fhad Mosaed"
572,20,"MUHANNAD ASIRI","Saudi Arabia","ABU RADIYAH","Muhannad Ahmed"
573,21,"YASSER ALMOSAILEM","Saudi Arabia","ALMOSAILEM","Yasser Abdullah N"
574,22,"MOHAMMED ALOWAIS","Saudi Arabia","ALOWAIS","Mohammed"
575,23,"MOTAZ HAWSAWI","Saudi Arabia","HAWSAWI","Motaz Ali Hassan"
576,1,"Abdoulaye DIALLO","Senegal","DIALLO","Abdoulaye"
577,2,"Saliou CISS","Senegal","CISS","Saliou"
578,3,"Kalidou KOULIBALY","Senegal","KOULIBALY","Kalidou"
579,4,"Kara MBODJI","Senegal","MBODJI","Serigne Modou Kara"
580,5,"Idrissa Gana GUEYE","Senegal","GUEYE","Idrissa Gana"
581,6,"Salif SANE","Senegal","SANE","Salif"
582,7,"Moussa SOW","Senegal","SOW","Moussa"
583,8,"Cheikhou KOUYATE","Senegal","KOUYATE","Cheikhou"
584,9,"Mame DIOUF","Senegal","DIOUF","Mame Biram"
585,10,"Sadio MANE","Senegal","MANE","Sadio"
586,11,"Cheikh NDOYE","Senegal","N'DOYE","Cheikh Tidiane"
587,12,"Youssouf SABALY","Senegal","SABALY","Youssouf"
588,13,"Alfred NDIAYE","Senegal","N'DIAYE","Alfred John Momar"
589,14,"Moussa KONATE","Senegal","KONATE","Moussa"
590,15,"Diafra SAKHO","Senegal","SAKHO","Diafra"
591,16,"Khadim NDIAYE","Senegal","NDIAYE","Khadim"
592,17,"Pape Alioune NDIAYE","Senegal","NDIAYE","Pape Alioune"
593,18,"Ismaila SARR","Senegal","SARR","Ismaila"
594,19,"Mbaye NIANG","Senegal","NIANG","Mbaye Hamady"
595,20,"Keita BALDE","Senegal","BALDE DIAO","Keita"
596,21,"Lamine GASSAMA","Senegal","GASSAMA","Lamine"
597,22,"Moussa WAGUE","Senegal","WAGUE","Moussa"
598,23,"Alfred GOMIS","Senegal","GOMIS","Amigo Alfred Junior"
599,1,"Vladimir STOJKOVIC","Serbia","STOJKOVIĆ","Vladimir"
600,2,"Antonio RUKAVINA","Serbia","RUKAVINA","Antonio"
601,3,"Dusko TOSIC","Serbia","TOŠIĆ","Duško"
602,4,"Luka MILIVOJEVIC","Serbia","MILIVOJEVIĆ","Luka"
603,5,"Uros SPAJIC","Serbia","SPAJIC","Uros"
604,6,"Branislav IVANOVIC","Serbia","IVANOVIĆ","Branislav"
605,7,"Andrija ZIVKOVIC","Serbia","ŽIVKOVIĆ","Andrija"
606,8,"Aleksandar PRIJOVIC","Serbia","PRIJOVIĆ","Aleksandar"
607,9,"Aleksandar MITROVIC","Serbia","MITROVIC","Aleksandar"
608,10,"Dusan TADIC","Serbia","TADIĆ","Dušan"
609,11,"Aleksandar KOLAROV","Serbia","KOLAROV","Aleksandar"
610,12,"Predrag RAJKOVIC","Serbia","RAJKOVIĆ","Predrag"
611,13,"Milos VELJKOVIC","Serbia","VELJKOVIĆ","Miloš"
612,14,"Milan RODIC","Serbia","RODIĆ","Milan"
613,15,"Nikola MILENKOVIC","Serbia","MILENKOVIĆ","Nikola"
614,16,"Marko GRUJIC","Serbia","GRUJIĆ","Marko"
615,17,"Filip KOSTIC","Serbia","KOSTIĆ","Filip"
616,18,"Nemanja RADONJIC","Serbia","RADONJIĆ","Nemanja"
617,19,"Luka JOVIC","Serbia","JOVIĆ","Luka"
618,20,"Sergej MILINKOVIC-SAVIC","Serbia","MILINKOVIĆ-SAVIĆ","Sergej"
619,21,"Nemanja MATIC","Serbia","MATIĆ","Nemanja"
620,22,"Adem LJAJIC","Serbia","LJAJIĆ","Adem"
621,23,"Marko DMITROVIC","Serbia","DMITROVIĆ","Marko"
622,1,"David DE GEA","Spain","DE GEA QUINTANA","David"
623,2,"Dani CARVAJAL","Spain","CARVAJAL RAMOS","Daniel"
624,3,"Gerard PIQUE","Spain","PIQUÉ BERNABEU","Gerard"
625,4,"NACHO","Spain","FERNÁNDEZ IGLESIAS","José Ignacio"
626,5,"Sergio BUSQUETS","Spain","BUSQUETS BURGOS","Sergio"
627,6,"Andres INIESTA","Spain","INIESTA LUJAN","Andres"
628,7,"SAUL","Spain","ÑIGUEZ ESCLAPEZ","Saúl"
629,8,"KOKE","Spain","RESURRECCIÓN MERODIO","Jorge"
630,9,"RODRIGO","Spain","MORENO MACHADO","Rodrigo"
631,10,"THIAGO","Spain","ALCANTARA DO NASCIMENTO","Thiago"
632,11,"Lucas VAZQUEZ","Spain","VÁZQUEZ IGLESIAS","Lucas"
633,12,"Alvaro ODRIOZOLA","Spain","ODRIOZOLA ARZALLUS","Álvaro"
634,13,"Kepa ARRIZABALAGA","Spain","ARRIZABALAGA REVUELTA","Kepa"
635,14,"Cesar AZPILICUETA","Spain","AZPILICUETA TANCO","César"
636,15,"Sergio RAMOS","Spain","RAMOS GARCIA","Sergio"
637,16,"Nacho MONREAL","Spain","MONREAL ERASO","Ignacio"
638,17,"Iago ASPAS","Spain","ASPAS JUNCAL","Iago"
639,18,"Jordi ALBA","Spain","ALBA RAMOS","Jordi"
640,19,"Diego COSTA","Spain","DA SILVA COSTA","Diego"
641,20,"Marco ASENSIO","Spain","ASENSIO WILLEMSEN","Marco"
642,21,"David SILVA","Spain","JIMENEZ SILVA","David Josue"
643,22,"ISCO","Spain","ALARCON SUAREZ","Francisco Roman"
644,23,"Pepe REINA","Spain","REINA PAEZ","José Manuel"
645,1,"Robin OLSEN","Sweden","OLSEN","Robin Patrick"
646,2,"Mikael LUSTIG","Sweden","LUSTIG","Carl Mikael"
647,3,"Victor LINDELOF","Sweden","NILSSON LINDELÖF","Victor Jörgen"
648,4,"Andreas GRANQVIST","Sweden","GRANQVIST","Andreas"
649,5,"Martin OLSSON","Sweden","OLSSON","Martin Tony Waikwa"
650,6,"Ludwig AUGUSTINSSON","Sweden","AUGUSTINSSON","Hans Carl Ludwig"
651,7,"Sebastian LARSSON","Sweden","LARSSON","Bengt Ulf Sebastian"
652,8,"Albin EKDAL","Sweden","EKDAL","Albin"
653,9,"Marcus BERG","Sweden","BERG","Bengt Erik Markus"
654,10,"Emil FORSBERG","Sweden","FORSBERG","Emil Peter"
655,11,"John GUIDETTI","Sweden","GUIDETTI","John Alberto"
656,12,"Karl-Johan JOHNSSON","Sweden","JOHNSSON","Karl-Johan Anton"
657,13,"Gustav SVENSSON","Sweden","SVENSSON","Karl Gustav Johan"
658,14,"Filip HELANDER","Sweden","HELANDER","Filip Viktor"
659,15,"Oscar HILJEMARK","Sweden","HILJEMARK","Oscar Karl Niclas"
660,16,"Emil KRAFTH","Sweden","KRAFT","Emil Henry Kristoffer"
661,17,"Viktor CLAESSON","Sweden","CLAESSON","Viktor Johan Anton"
662,18,"Pontus JANSSON","Sweden","JANSSON","Pontus Sven Gustav"
663,19,"Marcus ROHDEN","Sweden","ROHDÉN","Marcus Christer"
664,20,"Ola TOIVONEN","Sweden","TOIVONEN","Nils Ola"
665,21,"Jimmy DURMAZ","Sweden","DURMAZ","Jakup Jimmy"
666,22,"Isaac Kiese THELIN","Sweden","THELIN","Isaac Kiese"
667,23,"Kristoffer NORDFELDT","Sweden","NORDFELDT","Bo Kristoffer"
668,1,"Yann SOMMER","Switzerland","SOMMER","Yann"
669,2,"Stephan LICHTSTEINER","Switzerland","LICHTSTEINER","Stephan"
670,3,"Francois MOUBANDJE","Switzerland","MOUBANDJE","Jacques Francois"
671,4,"Nico ELVEDI","Switzerland","ELVEDI","Nico"
672,5,"Manuel AKANJI","Switzerland","AKANJI","Manuel Obafemi"
673,6,"Michael LANG","Switzerland","LANG","Michael Rico"
674,7,"Breel EMBOLO","Switzerland","EMBOLO","Breel Donald"
675,8,"Remo FREULER","Switzerland","FREULER","Remo Marco"
676,9,"Haris SEFEROVIC","Switzerland","SEFEROVIC","Haris"
677,10,"Granit XHAKA","Switzerland","XHAKA","Granit"
678,11,"Valon BEHRAMI","Switzerland","BEHRAMI","Valon"
679,12,"Yvon MVOGO","Switzerland","MVOGO NGANOMA","Yvon Landry"
680,13,"Ricardo RODRIGUEZ","Switzerland","RODRIGUEZ ARAYA","Ricardo Ivan"
681,14,"Steven ZUBER","Switzerland","ZUBER","Steven"
682,15,"Blerim DZEMAILI","Switzerland","DZEMAILI","Blerim"
683,16,"Gelson FERNANDES","Switzerland","TAVARES FERNANDES","Gelson Da Conceicao"
684,17,"Denis ZAKARIA","Switzerland","ZAKARIA LAKO LADO","Denis Lemi"
685,18,"Mario GAVRANOVIC","Switzerland","GAVRANOVIC","Mario"
686,19,"Josip DRMIC","Switzerland","DRMIC","Josip"
687,20,"Johan DJOUROU","Switzerland","DJOUROU GBADJERE","Danon Issouf Johannes"
688,21,"Roman BUERKI","Switzerland","BÜRKI","Roman"
689,22,"Fabian SCHAER","Switzerland","SCHÄR","Fabian Lukas"
690,23,"Xherdan SHAQIRI","Switzerland","SHAQIRI","Xherdan"
691,1,"Farouk BEN MUSTAPHA","Tunisia","BEN MUSTAPHA","Farouk"
692,2,"Syam BEN YOUSSEF","Tunisia","BEN YOUSSEF","Syam Habib"
693,3,"Yohan BEN ALOUANE","Tunisia","BEN ALOUANE","Yohan"
694,4,"Yassine MERIAH","Tunisia","MERIAH","Yassine"
695,5,"Oussama HADDADI","Tunisia","HADDADI","Oussama"
696,6,"Rami BEDOUI","Tunisia","BEDOUI","Rami"
697,7,"Saifeddine KHAOUI","Tunisia","KHAOUI","Saifeddine"
698,8,"Fakhreddine BEN YOUSSEF","Tunisia","BEN YOUSSEF","Fakhreddine"
699,9,"Anice BADRI","Tunisia","BADRI","Anice"
700,10,"Wahbi KHAZRI","Tunisia","KHAZRI","Wahbi"
701,11,"Dylan BRONN","Tunisia","BRONN","Dylan Daniel Mahmoud"
702,12,"Ali MAALOUL","Tunisia","MAALOUL","Ali"
703,13,"Ferjani SASSI","Tunisia","SASSI","Ferjani"
704,14,"Mohamed BEN AMOR","Tunisia","BEN AMOR","Mohamed Amine"
705,15,"Ahmed KHALIL","Tunisia","KHALIL","Ahmed"
706,16,"Aymen MATHLOUTHI","Tunisia","MATHLOUTHI","Aymen"
707,17,"Ellyes SKHIRI","Tunisia","SKHIRI","Ellyes Joris"
708,18,"Bassem SRARFI","Tunisia","SRARFI","Bassem"
709,19,"Saber KHALIFA","Tunisia","KHALIFA","Saber"
710,20,"Ghaylen CHAALELI","Tunisia","CHAALELI","Ghaylen"
711,21,"Hamdi NAGUEZ","Tunisia","NAGUEZ","Hamdi"
712,22,"Mouez HASSEN","Tunisia","HASSEN","Mouez"
713,23,"Naim SLITI","Tunisia","SLITI","Naim"
714,1,"Fernando MUSLERA","Uruguay","MUSLERA MICOL","Nestor Fernando"
715,2,"Jose GIMENEZ","Uruguay","GIMENEZ DE VARGAS","José Maria"
716,3,"Diego GODIN","Uruguay","GODIN LEAL","Diego Roberto"
717,4,"Guillermo VARELA","Uruguay","VARELA OLIVERA","Guillermo"
718,5,"Carlos SANCHEZ","Uruguay","SÁNCHEZ ARCOSA","Carlos Andrés"
719,6,"Rodrigo BENTANCUR","Uruguay","BENTANCUR COLMAN","Rodrigo"
720,7,"Cristian RODRIGUEZ","Uruguay","RODRIGUEZ BAROTTI","Cristian Gabriel"
721,8,"Nahitan NANDEZ","Uruguay","NANDEZ ACOSTA","Nahitan Michel"
722,9,"Luis SUAREZ","Uruguay","SUAREZ DIAZ","Luis Alberto"
723,10,"Giorgian DE ARRASCAETA","Uruguay","DE ARRASCAETA BENEDETTI","Giorgian Daniel"
724,11,"Cristhian STUANI","Uruguay","STUANI CURBELO","Cristhian Ricardo"
725,12,"Martin CAMPANA","Uruguay","CAMPAÑA DELGADO","Martín Nicolas"
726,13,"Gaston SILVA","Uruguay","SILVA PERDOMO","Gaston Alexis"
727,14,"Lucas TORREIRA","Uruguay","TORREIRA DI PASCUA","Lucas Sebastian"
728,15,"Matias VECINO","Uruguay","VECINO FALERO","Matias"
729,16,"Maximiliano PEREIRA","Uruguay","PEREIRA PAEZ","Victorio Maximiliano"
730,17,"Diego LAXALT","Uruguay","LAXALT SUAREZ","Diego Sebastian"
731,18,"Maximiliano GOMEZ","Uruguay","GÓMEZ GONZÁLEZ","Maximiliano"
732,19,"Sebastian COATES","Uruguay","COATES NION","Sebastián"
733,20,"Jonathan URRETAVISCAYA","Uruguay","URRETAVISCAYA DA LUZ","Jonathan Matias"
